ukmcs_variable_name,ukmcs_variable_label,mcs_variables_value_labels,combined_labels
APEMSA00,Whether still with same employer,-9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes,Whether still with same employer: -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes
APOTJB00,Other paid job when pregnant,-9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes,Other paid job when pregnant: -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes
APJBSI00,Paid work since birth   ,-9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes,Paid work since birth   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes
APPLEA00,Leave taken since birth ,-9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes; 2.0 = No,Leave taken since birth : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes; 2.0 = No
APLEWT0A,Type of leave taken MC1 ,-9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Paternity leave; 2.0 = Parental leave; 3.0 = Sick leave; 4.0 = Annual leave,Type of leave taken MC1 : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Paternity leave; 2.0 = Parental leave; 3.0 = Sick leave; 4.0 = Annual leave
APLEWT0B,Type of leave taken MC2 ,-9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Paternity leave; 2.0 = Parental leave; 3.0 = Sick leave; 4.0 = Annual leave,Type of leave taken MC2 : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Paternity leave; 2.0 = Parental leave; 3.0 = Sick leave; 4.0 = Annual leave
APLEWT0C,Type of leave taken MC3 ,-9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Paternity leave; 2.0 = Parental leave; 3.0 = Sick leave; 4.0 = Annual leave,Type of leave taken MC3 : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Paternity leave; 2.0 = Parental leave; 3.0 = Sick leave; 4.0 = Annual leave
APLEWT0D,Type of leave taken MC4 ,-9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Paternity leave; 2.0 = Parental leave; 3.0 = Sick leave; 4.0 = Annual leave,Type of leave taken MC4 : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Paternity leave; 2.0 = Parental leave; 3.0 = Sick leave; 4.0 = Annual leave
APLEAP00,Whether any leave was paid  ,"-9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes, all; 2.0 = Yes, some","Whether any leave was paid  : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes, all; 2.0 = Yes, some"
APFTPT00,Whether previous job was full-time or part-time ,-9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Full-time (30 or more hours a week); 2.0 = Part-time (under 30 hours a week),Whether previous job was full-time or part-time : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Full-time (30 or more hours a week); 2.0 = Part-time (under 30 hours a week)
APSUPV00,Manager or supervisor in job,-9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Manager; 2.0 = Foreman/supervisor,Manager or supervisor in job: -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Manager; 2.0 = Foreman/supervisor
APJBSY00,Year started job,-9.0 = Refusal; -8.0 = Don't Know,Year started job: -9.0 = Refusal; -8.0 = Don't Know
APJBSM00,Month started job   ,-9.0 = Refusal; -8.0 = Don't Know,Month started job   : -9.0 = Refusal; -8.0 = Don't Know
APFLEX0A,Types of flexible working offered MC1   ,"-9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Part-time working; 2.0 = Job-sharing; 3.0 = Flexible working hours (flexi-time); 4.0 = Working at or from home occasionally; 5.0 = Working at or from home all the time; 6.0 = Special shifts (e.g. evening, school hours); 7.0 = 9-day fortnights/4 & a half day working weeks; 8.0 = School term-time contracts","Types of flexible working offered MC1   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Part-time working; 2.0 = Job-sharing; 3.0 = Flexible working hours (flexi-time); 4.0 = Working at or from home occasionally; 5.0 = Working at or from home all the time; 6.0 = Special shifts (e.g. evening, school hours); 7.0 = 9-day fortnights/4 & a half day working weeks; 8.0 = School term-time contracts"
APFLEX0B,Types of flexible working offered MC2   ,"-9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Part-time working; 2.0 = Job-sharing; 3.0 = Flexible working hours (flexi-time); 4.0 = Working at or from home occasionally; 5.0 = Working at or from home all the time; 6.0 = Special shifts (e.g. evening, school hours); 7.0 = 9-day fortnights/4 & a half day working weeks; 8.0 = School term-time contracts","Types of flexible working offered MC2   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Part-time working; 2.0 = Job-sharing; 3.0 = Flexible working hours (flexi-time); 4.0 = Working at or from home occasionally; 5.0 = Working at or from home all the time; 6.0 = Special shifts (e.g. evening, school hours); 7.0 = 9-day fortnights/4 & a half day working weeks; 8.0 = School term-time contracts"
APFLEX0C,Types of flexible working offered MC3   ,"-9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Part-time working; 2.0 = Job-sharing; 3.0 = Flexible working hours (flexi-time); 4.0 = Working at or from home occasionally; 5.0 = Working at or from home all the time; 6.0 = Special shifts (e.g. evening, school hours); 7.0 = 9-day fortnights/4 & a half day working weeks; 8.0 = School term-time contracts","Types of flexible working offered MC3   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Part-time working; 2.0 = Job-sharing; 3.0 = Flexible working hours (flexi-time); 4.0 = Working at or from home occasionally; 5.0 = Working at or from home all the time; 6.0 = Special shifts (e.g. evening, school hours); 7.0 = 9-day fortnights/4 & a half day working weeks; 8.0 = School term-time contracts"
APFLEX0D,Types of flexible working offered MC4   ,"-9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Part-time working; 2.0 = Job-sharing; 3.0 = Flexible working hours (flexi-time); 4.0 = Working at or from home occasionally; 5.0 = Working at or from home all the time; 6.0 = Special shifts (e.g. evening, school hours); 7.0 = 9-day fortnights/4 & a half day working weeks; 8.0 = School term-time contracts","Types of flexible working offered MC4   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Part-time working; 2.0 = Job-sharing; 3.0 = Flexible working hours (flexi-time); 4.0 = Working at or from home occasionally; 5.0 = Working at or from home all the time; 6.0 = Special shifts (e.g. evening, school hours); 7.0 = 9-day fortnights/4 & a half day working weeks; 8.0 = School term-time contracts"
APFLEX0E,Types of flexible working offered MC5   ,"-9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Part-time working; 2.0 = Job-sharing; 3.0 = Flexible working hours (flexi-time); 4.0 = Working at or from home occasionally; 5.0 = Working at or from home all the time; 6.0 = Special shifts (e.g. evening, school hours); 7.0 = 9-day fortnights/4 & a half day working weeks; 8.0 = School term-time contracts","Types of flexible working offered MC5   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Part-time working; 2.0 = Job-sharing; 3.0 = Flexible working hours (flexi-time); 4.0 = Working at or from home occasionally; 5.0 = Working at or from home all the time; 6.0 = Special shifts (e.g. evening, school hours); 7.0 = 9-day fortnights/4 & a half day working weeks; 8.0 = School term-time contracts"
APFLEX0F,Types of flexible working offered MC6   ,"-9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Part-time working; 2.0 = Job-sharing; 3.0 = Flexible working hours (flexi-time); 4.0 = Working at or from home occasionally; 5.0 = Working at or from home all the time; 6.0 = Special shifts (e.g. evening, school hours); 7.0 = 9-day fortnights/4 & a half day working weeks; 8.0 = School term-time contracts","Types of flexible working offered MC6   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Part-time working; 2.0 = Job-sharing; 3.0 = Flexible working hours (flexi-time); 4.0 = Working at or from home occasionally; 5.0 = Working at or from home all the time; 6.0 = Special shifts (e.g. evening, school hours); 7.0 = 9-day fortnights/4 & a half day working weeks; 8.0 = School term-time contracts"
APFLEX0G,Types of flexible working offered MC7   ,"-9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Part-time working; 2.0 = Job-sharing; 3.0 = Flexible working hours (flexi-time); 4.0 = Working at or from home occasionally; 5.0 = Working at or from home all the time; 6.0 = Special shifts (e.g. evening, school hours); 7.0 = 9-day fortnights/4 & a half day working weeks; 8.0 = School term-time contracts","Types of flexible working offered MC7   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Part-time working; 2.0 = Job-sharing; 3.0 = Flexible working hours (flexi-time); 4.0 = Working at or from home occasionally; 5.0 = Working at or from home all the time; 6.0 = Special shifts (e.g. evening, school hours); 7.0 = 9-day fortnights/4 & a half day working weeks; 8.0 = School term-time contracts"
APFLEX0H,Types of flexible working offered MC8   ,"-9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Part-time working; 2.0 = Job-sharing; 3.0 = Flexible working hours (flexi-time); 4.0 = Working at or from home occasionally; 5.0 = Working at or from home all the time; 6.0 = Special shifts (e.g. evening, school hours); 7.0 = 9-day fortnights/4 & a half day working weeks; 8.0 = School term-time contracts","Types of flexible working offered MC8   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Part-time working; 2.0 = Job-sharing; 3.0 = Flexible working hours (flexi-time); 4.0 = Working at or from home occasionally; 5.0 = Working at or from home all the time; 6.0 = Special shifts (e.g. evening, school hours); 7.0 = 9-day fortnights/4 & a half day working weeks; 8.0 = School term-time contracts"
APFLXW0A,Flexible working used MC1   ,"-9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Part-time working; 2.0 = Job-sharing; 3.0 = Flexible working hours (flexi-time); 4.0 = Working at or from home occasionally; 5.0 = Working at or from home all the time; 6.0 = Special shifts (e.g. evening, school hours); 7.0 = 9-day fortnights/4 & a half day working weeks; 8.0 = School term-time contracts","Flexible working used MC1   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Part-time working; 2.0 = Job-sharing; 3.0 = Flexible working hours (flexi-time); 4.0 = Working at or from home occasionally; 5.0 = Working at or from home all the time; 6.0 = Special shifts (e.g. evening, school hours); 7.0 = 9-day fortnights/4 & a half day working weeks; 8.0 = School term-time contracts"
APFLXW0B,Flexible working used MC2   ,"-9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Part-time working; 2.0 = Job-sharing; 3.0 = Flexible working hours (flexi-time); 4.0 = Working at or from home occasionally; 5.0 = Working at or from home all the time; 6.0 = Special shifts (e.g. evening, school hours); 7.0 = 9-day fortnights/4 & a half day working weeks; 8.0 = School term-time contracts","Flexible working used MC2   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Part-time working; 2.0 = Job-sharing; 3.0 = Flexible working hours (flexi-time); 4.0 = Working at or from home occasionally; 5.0 = Working at or from home all the time; 6.0 = Special shifts (e.g. evening, school hours); 7.0 = 9-day fortnights/4 & a half day working weeks; 8.0 = School term-time contracts"
APFLXW0C,Flexible working used MC3   ,"-9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Part-time working; 2.0 = Job-sharing; 3.0 = Flexible working hours (flexi-time); 4.0 = Working at or from home occasionally; 5.0 = Working at or from home all the time; 6.0 = Special shifts (e.g. evening, school hours); 7.0 = 9-day fortnights/4 & a half day working weeks; 8.0 = School term-time contracts","Flexible working used MC3   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Part-time working; 2.0 = Job-sharing; 3.0 = Flexible working hours (flexi-time); 4.0 = Working at or from home occasionally; 5.0 = Working at or from home all the time; 6.0 = Special shifts (e.g. evening, school hours); 7.0 = 9-day fortnights/4 & a half day working weeks; 8.0 = School term-time contracts"
APFLXW0D,Flexible working used MC4   ,"-9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Part-time working; 2.0 = Job-sharing; 3.0 = Flexible working hours (flexi-time); 4.0 = Working at or from home occasionally; 5.0 = Working at or from home all the time; 6.0 = Special shifts (e.g. evening, school hours); 7.0 = 9-day fortnights/4 & a half day working weeks; 8.0 = School term-time contracts","Flexible working used MC4   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Part-time working; 2.0 = Job-sharing; 3.0 = Flexible working hours (flexi-time); 4.0 = Working at or from home occasionally; 5.0 = Working at or from home all the time; 6.0 = Special shifts (e.g. evening, school hours); 7.0 = 9-day fortnights/4 & a half day working weeks; 8.0 = School term-time contracts"
APFLXW0E,Flexible working used MC5   ,"-9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Part-time working; 2.0 = Job-sharing; 3.0 = Flexible working hours (flexi-time); 4.0 = Working at or from home occasionally; 5.0 = Working at or from home all the time; 6.0 = Special shifts (e.g. evening, school hours); 7.0 = 9-day fortnights/4 & a half day working weeks; 8.0 = School term-time contracts","Flexible working used MC5   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Part-time working; 2.0 = Job-sharing; 3.0 = Flexible working hours (flexi-time); 4.0 = Working at or from home occasionally; 5.0 = Working at or from home all the time; 6.0 = Special shifts (e.g. evening, school hours); 7.0 = 9-day fortnights/4 & a half day working weeks; 8.0 = School term-time contracts"
APFLXW0F,Flexible working used MC6   ,"-9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Part-time working; 2.0 = Job-sharing; 3.0 = Flexible working hours (flexi-time); 4.0 = Working at or from home occasionally; 5.0 = Working at or from home all the time; 6.0 = Special shifts (e.g. evening, school hours); 7.0 = 9-day fortnights/4 & a half day working weeks; 8.0 = School term-time contracts","Flexible working used MC6   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Part-time working; 2.0 = Job-sharing; 3.0 = Flexible working hours (flexi-time); 4.0 = Working at or from home occasionally; 5.0 = Working at or from home all the time; 6.0 = Special shifts (e.g. evening, school hours); 7.0 = 9-day fortnights/4 & a half day working weeks; 8.0 = School term-time contracts"
APEMFA0A,Family-friendly practices offered MC1   ,-9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Financial help with childcare/childcare; 2.0 = Workplace nursery or crèche; 3.0 = Other nurseries supported by employer; 4.0 = Help with finding childcare facilities; 5.0 = Care for children after school hours; 6.0 = Time off for family emergencies; 7.0 = Career breaks for family reasons; 8.0 = Paternity leave; 9.0 = Parental leave; 10.0 = A telephone to use for family reasons,Family-friendly practices offered MC1   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Financial help with childcare/childcare; 2.0 = Workplace nursery or crèche; 3.0 = Other nurseries supported by employer; 4.0 = Help with finding childcare facilities; 5.0 = Care for children after school hours; 6.0 = Time off for family emergencies; 7.0 = Career breaks for family reasons; 8.0 = Paternity leave; 9.0 = Parental leave; 10.0 = A telephone to use for family reasons
APEMFA0B,Family-friendly practices offered MC2   ,-9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Financial help with childcare/childcare; 2.0 = Workplace nursery or crèche; 3.0 = Other nurseries supported by employer; 4.0 = Help with finding childcare facilities; 5.0 = Care for children after school hours; 6.0 = Time off for family emergencies; 7.0 = Career breaks for family reasons; 8.0 = Paternity leave; 9.0 = Parental leave; 10.0 = A telephone to use for family reasons,Family-friendly practices offered MC2   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Financial help with childcare/childcare; 2.0 = Workplace nursery or crèche; 3.0 = Other nurseries supported by employer; 4.0 = Help with finding childcare facilities; 5.0 = Care for children after school hours; 6.0 = Time off for family emergencies; 7.0 = Career breaks for family reasons; 8.0 = Paternity leave; 9.0 = Parental leave; 10.0 = A telephone to use for family reasons
APEMFA0C,Family-friendly practices offered MC3   ,-9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Financial help with childcare/childcare; 2.0 = Workplace nursery or crèche; 3.0 = Other nurseries supported by employer; 4.0 = Help with finding childcare facilities; 5.0 = Care for children after school hours; 6.0 = Time off for family emergencies; 7.0 = Career breaks for family reasons; 8.0 = Paternity leave; 9.0 = Parental leave; 10.0 = A telephone to use for family reasons,Family-friendly practices offered MC3   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Financial help with childcare/childcare; 2.0 = Workplace nursery or crèche; 3.0 = Other nurseries supported by employer; 4.0 = Help with finding childcare facilities; 5.0 = Care for children after school hours; 6.0 = Time off for family emergencies; 7.0 = Career breaks for family reasons; 8.0 = Paternity leave; 9.0 = Parental leave; 10.0 = A telephone to use for family reasons
APEMFA0D,Family-friendly practices offered MC4   ,-9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Financial help with childcare/childcare; 2.0 = Workplace nursery or crèche; 3.0 = Other nurseries supported by employer; 4.0 = Help with finding childcare facilities; 5.0 = Care for children after school hours; 6.0 = Time off for family emergencies; 7.0 = Career breaks for family reasons; 8.0 = Paternity leave; 9.0 = Parental leave; 10.0 = A telephone to use for family reasons,Family-friendly practices offered MC4   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Financial help with childcare/childcare; 2.0 = Workplace nursery or crèche; 3.0 = Other nurseries supported by employer; 4.0 = Help with finding childcare facilities; 5.0 = Care for children after school hours; 6.0 = Time off for family emergencies; 7.0 = Career breaks for family reasons; 8.0 = Paternity leave; 9.0 = Parental leave; 10.0 = A telephone to use for family reasons
APEMFA0E,Family-friendly practices offered MC5   ,-9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Financial help with childcare/childcare; 2.0 = Workplace nursery or crèche; 3.0 = Other nurseries supported by employer; 4.0 = Help with finding childcare facilities; 5.0 = Care for children after school hours; 6.0 = Time off for family emergencies; 7.0 = Career breaks for family reasons; 8.0 = Paternity leave; 9.0 = Parental leave; 10.0 = A telephone to use for family reasons,Family-friendly practices offered MC5   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Financial help with childcare/childcare; 2.0 = Workplace nursery or crèche; 3.0 = Other nurseries supported by employer; 4.0 = Help with finding childcare facilities; 5.0 = Care for children after school hours; 6.0 = Time off for family emergencies; 7.0 = Career breaks for family reasons; 8.0 = Paternity leave; 9.0 = Parental leave; 10.0 = A telephone to use for family reasons
APEMFA0F,Family-friendly practices offered MC6   ,-9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Financial help with childcare/childcare; 2.0 = Workplace nursery or crèche; 3.0 = Other nurseries supported by employer; 4.0 = Help with finding childcare facilities; 5.0 = Care for children after school hours; 6.0 = Time off for family emergencies; 7.0 = Career breaks for family reasons; 8.0 = Paternity leave; 9.0 = Parental leave; 10.0 = A telephone to use for family reasons,Family-friendly practices offered MC6   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Financial help with childcare/childcare; 2.0 = Workplace nursery or crèche; 3.0 = Other nurseries supported by employer; 4.0 = Help with finding childcare facilities; 5.0 = Care for children after school hours; 6.0 = Time off for family emergencies; 7.0 = Career breaks for family reasons; 8.0 = Paternity leave; 9.0 = Parental leave; 10.0 = A telephone to use for family reasons
APFLXB0A,Family-friendly practices used MC1  ,-9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Financial help with childcare/childcare; 2.0 = Workplace nursery or crèche; 3.0 = Other nurseries supported by employer; 4.0 = Help with finding childcare facilities; 5.0 = Care for children after school hours; 6.0 = Time off for family emergencies; 7.0 = Career breaks for family reasons; 8.0 = Paternity leave; 9.0 = Parental leave; 10.0 = A telephone to use for family reasons,Family-friendly practices used MC1  : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Financial help with childcare/childcare; 2.0 = Workplace nursery or crèche; 3.0 = Other nurseries supported by employer; 4.0 = Help with finding childcare facilities; 5.0 = Care for children after school hours; 6.0 = Time off for family emergencies; 7.0 = Career breaks for family reasons; 8.0 = Paternity leave; 9.0 = Parental leave; 10.0 = A telephone to use for family reasons
APFLXB0B,Family-friendly practices used MC2  ,-9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Financial help with childcare/childcare; 2.0 = Workplace nursery or crèche; 3.0 = Other nurseries supported by employer; 4.0 = Help with finding childcare facilities; 5.0 = Care for children after school hours; 6.0 = Time off for family emergencies; 7.0 = Career breaks for family reasons; 8.0 = Paternity leave; 9.0 = Parental leave; 10.0 = A telephone to use for family reasons,Family-friendly practices used MC2  : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Financial help with childcare/childcare; 2.0 = Workplace nursery or crèche; 3.0 = Other nurseries supported by employer; 4.0 = Help with finding childcare facilities; 5.0 = Care for children after school hours; 6.0 = Time off for family emergencies; 7.0 = Career breaks for family reasons; 8.0 = Paternity leave; 9.0 = Parental leave; 10.0 = A telephone to use for family reasons
APFLXB0C,Family-friendly practices used MC3  ,-9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Financial help with childcare/childcare; 2.0 = Workplace nursery or crèche; 3.0 = Other nurseries supported by employer; 4.0 = Help with finding childcare facilities; 5.0 = Care for children after school hours; 6.0 = Time off for family emergencies; 7.0 = Career breaks for family reasons; 8.0 = Paternity leave; 9.0 = Parental leave; 10.0 = A telephone to use for family reasons,Family-friendly practices used MC3  : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Financial help with childcare/childcare; 2.0 = Workplace nursery or crèche; 3.0 = Other nurseries supported by employer; 4.0 = Help with finding childcare facilities; 5.0 = Care for children after school hours; 6.0 = Time off for family emergencies; 7.0 = Career breaks for family reasons; 8.0 = Paternity leave; 9.0 = Parental leave; 10.0 = A telephone to use for family reasons
APFLXB0D,Family-friendly practices used MC4  ,-9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Financial help with childcare/childcare; 2.0 = Workplace nursery or crèche; 3.0 = Other nurseries supported by employer; 4.0 = Help with finding childcare facilities; 5.0 = Care for children after school hours; 6.0 = Time off for family emergencies; 7.0 = Career breaks for family reasons; 8.0 = Paternity leave; 9.0 = Parental leave; 10.0 = A telephone to use for family reasons,Family-friendly practices used MC4  : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Financial help with childcare/childcare; 2.0 = Workplace nursery or crèche; 3.0 = Other nurseries supported by employer; 4.0 = Help with finding childcare facilities; 5.0 = Care for children after school hours; 6.0 = Time off for family emergencies; 7.0 = Career breaks for family reasons; 8.0 = Paternity leave; 9.0 = Parental leave; 10.0 = A telephone to use for family reasons
APFLXB0E,Family-friendly practices used MC5  ,-9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Financial help with childcare/childcare; 2.0 = Workplace nursery or crèche; 3.0 = Other nurseries supported by employer; 4.0 = Help with finding childcare facilities; 5.0 = Care for children after school hours; 6.0 = Time off for family emergencies; 7.0 = Career breaks for family reasons; 8.0 = Paternity leave; 9.0 = Parental leave; 10.0 = A telephone to use for family reasons,Family-friendly practices used MC5  : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Financial help with childcare/childcare; 2.0 = Workplace nursery or crèche; 3.0 = Other nurseries supported by employer; 4.0 = Help with finding childcare facilities; 5.0 = Care for children after school hours; 6.0 = Time off for family emergencies; 7.0 = Career breaks for family reasons; 8.0 = Paternity leave; 9.0 = Parental leave; 10.0 = A telephone to use for family reasons
APFLXB0F,Family-friendly practices used MC6  ,-9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Financial help with childcare/childcare; 2.0 = Workplace nursery or crèche; 3.0 = Other nurseries supported by employer; 4.0 = Help with finding childcare facilities; 5.0 = Care for children after school hours; 6.0 = Time off for family emergencies; 7.0 = Career breaks for family reasons; 8.0 = Paternity leave; 9.0 = Parental leave; 10.0 = A telephone to use for family reasons,Family-friendly practices used MC6  : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Financial help with childcare/childcare; 2.0 = Workplace nursery or crèche; 3.0 = Other nurseries supported by employer; 4.0 = Help with finding childcare facilities; 5.0 = Care for children after school hours; 6.0 = Time off for family emergencies; 7.0 = Career breaks for family reasons; 8.0 = Paternity leave; 9.0 = Parental leave; 10.0 = A telephone to use for family reasons
APEMPN00,Number of people who work at workplace  ,-9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Works alone; 2.0 = 1-5 people; 3.0 = 6-24 people; 4.0 = 25-49 people; 5.0 = 50-499,Number of people who work at workplace  : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Works alone; 2.0 = 1-5 people; 3.0 = 6-24 people; 4.0 = 25-49 people; 5.0 = 50-499
APEMPM00,Gender of people working with   ,"-9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = ... mostly women,; 2.0 = about half women and half men,","Gender of people working with   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = ... mostly women,; 2.0 = about half women and half men,"
APPSYM00,Attitude of people work with to parental role   ,"-9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = ... sympathetic,; 2.0 = unsympathetic,","Attitude of people work with to parental role   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = ... sympathetic,; 2.0 = unsympathetic,"
APPAHR00,Paid overtime per week  ,-9.0 = Refusal; -8.0 = Don't Know,Paid overtime per week  : -9.0 = Refusal; -8.0 = Don't Know
APTOHR00,Total hours per week,-9.0 = Refusal; -8.0 = Don't Know,Total hours per week: -9.0 = Refusal; -8.0 = Don't Know
APCKHR00,Check total hours   ,-9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes,Check total hours   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes
APWKHR00,"How many hours per week worked (incl overtime, excl lunch etc)  ",-9.0 = Refusal; -8.0 = Don't Know,"How many hours per week worked (incl overtime, excl lunch etc)  : -9.0 = Refusal; -8.0 = Don't Know"
APCCHR00,Preference to work more/fewer hours ,-9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = More than present; 2.0 = Same,Preference to work more/fewer hours : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = More than present; 2.0 = Same
APDAYW00,Number of days per week do you work in your job?,-9.0 = Refusal; -8.0 = Don't Know,Number of days per week do you work in your job?: -9.0 = Refusal; -8.0 = Don't Know
APEVEW00,How often works in the evening  ,-9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Every week; 2.0 = At least once per month; 3.0 = Less than once per month,How often works in the evening  : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Every week; 2.0 = At least once per month; 3.0 = Less than once per month
