echo_variable_name,echo_variable_label,echo_variable_value_coded_labels,combined_labels
nnns_supine_crib2,Asymmetrical tonic neck reflex,"No response, Weak or incomplete response: there is some change in the position of arms or legs but it is transient, Well-marked response, Well-marked response that is prolonged and exaggerated; infant is unable to release response, Item not administered because the infant is not in an appropriate state, Item not administered due to examiner error, Not applicable, Declined, Don't know, Missing","Asymmetrical tonic neck reflex: No response, Weak or incomplete response: there is some change in the position of arms or legs but it is transient, Well-marked response, Well-marked response that is prolonged and exaggerated; infant is unable to release response, Item not administered because the infant is not in an appropriate state, Item not administered due to examiner error, Not applicable, Declined, Don't know, Missing"
nnns_supine_crib3,Asymmetrical tonic neck reflex asymmetry: less optimal side,"Asymmetry on left side (response too weak), Asymmetry on left side (response too strong), asymmetry on right side (response too weak), Asymmetry on right side (response too strong), Item not administered because the infant is not in state 1 or 2, Item not administered due to examiner error, Not applicable, Declined, Don't know, Missing","Asymmetrical tonic neck reflex asymmetry: less optimal side: Asymmetry on left side (response too weak), Asymmetry on left side (response too strong), asymmetry on right side (response too weak), Asymmetry on right side (response too strong), Item not administered because the infant is not in state 1 or 2, Item not administered due to examiner error, Not applicable, Declined, Don't know, Missing"
nnns_supine_crib4,Moro reflex,"No response, Weak response with minimal abduction of shoulders and some elbow extension followed by narrow adduction at shoulders and just discernible flextion at the elbow, Adequate abduction of shoulders and extension of the elbow but mnimal or no adduction, Adequate abduction at the shoulder with extension fo the elbow followed by full adduction of the shoulder and flexion at the elbow, Exaggerated; hyperactive response with excessive abduction and full extension of the elbow followed by adduction at the shoulder across the midline, Item not administered because the infant is not in an appropriate state, Item not administered due to examiner error, Not applicable, Declined, Don't know, Missing","Moro reflex: No response, Weak response with minimal abduction of shoulders and some elbow extension followed by narrow adduction at shoulders and just discernible flextion at the elbow, Adequate abduction of shoulders and extension of the elbow but mnimal or no adduction, Adequate abduction at the shoulder with extension fo the elbow followed by full adduction of the shoulder and flexion at the elbow, Exaggerated; hyperactive response with excessive abduction and full extension of the elbow followed by adduction at the shoulder across the midline, Item not administered because the infant is not in an appropriate state, Item not administered due to examiner error, Not applicable, Declined, Don't know, Missing"
nnns_supine_crib5,Moro reflex asymmetry: less optimal side,"Asymmetry on left side (response too weak), Asymmetry on left side (response too strong), asymmetry on right side (response too weak), Asymmetry on right side (response too strong), Item not administered because the infant is not in state 1 or 2, Item not administered due to examiner error, Not applicable, Declined, Don't know, Missing","Moro reflex asymmetry: less optimal side: Asymmetry on left side (response too weak), Asymmetry on left side (response too strong), asymmetry on right side (response too weak), Asymmetry on right side (response too strong), Item not administered because the infant is not in state 1 or 2, Item not administered due to examiner error, Not applicable, Declined, Don't know, Missing"
nnns_post_exam1,Orientation handling procedures: Was infant in State 4 or 5?,"No, Yes, Not applicable, Declined, Don't know, Missing","Orientation handling procedures: Was infant in State 4 or 5?: No, Yes, Not applicable, Declined, Don't know, Missing"
nnns_post_exam2,Orientation handling procedures: If infant was in State 4 or 5: Repeated time out,"No, Yes, Not applicable, Declined, Don't know, Missing","Orientation handling procedures: If infant was in State 4 or 5: Repeated time out: No, Yes, Not applicable, Declined, Don't know, Missing"
nnns_post_exam3,Orientation handling procedures: If infant was in State 4 or 5: Hand holding/Ventral pressure,"No, Yes, Not applicable, Declined, Don't know, Missing","Orientation handling procedures: If infant was in State 4 or 5: Hand holding/Ventral pressure: No, Yes, Not applicable, Declined, Don't know, Missing"
nnns_post_exam4,Orientation handling procedures: If infant was in State 4 or 5: Auditory stimulation (voice or rattle),"No, Yes, Not applicable, Declined, Don't know, Missing","Orientation handling procedures: If infant was in State 4 or 5: Auditory stimulation (voice or rattle): No, Yes, Not applicable, Declined, Don't know, Missing"
nnns_post_exam5,Orientation handling procedures: If infant was in State 4 or 5: Jiggling/Vertial rocking,"No, Yes, Not applicable, Declined, Don't know, Missing","Orientation handling procedures: If infant was in State 4 or 5: Jiggling/Vertial rocking: No, Yes, Not applicable, Declined, Don't know, Missing"
nnns_post_exam6,Orientation handling procedures: Covering/Wrapping,"No, Yes, Not applicable, Declined, Don't know, Missing","Orientation handling procedures: Covering/Wrapping: No, Yes, Not applicable, Declined, Don't know, Missing"
nnns_post_exam7,Orientation handling procedures: Swaddling,"No, Yes, Not applicable, Declined, Don't know, Missing","Orientation handling procedures: Swaddling: No, Yes, Not applicable, Declined, Don't know, Missing"
nnns_post_exam8,Orientation handling procedures: Rocking/Walking,"No, Yes, Not applicable, Declined, Don't know, Missing","Orientation handling procedures: Rocking/Walking: No, Yes, Not applicable, Declined, Don't know, Missing"
nnns_post_exam9,Orientation handling procedures: Sucking/Pacifier,"No, Yes, Not applicable, Declined, Don't know, Missing","Orientation handling procedures: Sucking/Pacifier: No, Yes, Not applicable, Declined, Don't know, Missing"
nnns_post_exam10,Orientation handling procedures: Other,"No, Yes, Not applicable, Declined, Don't know, Missing","Orientation handling procedures: Other: No, Yes, Not applicable, Declined, Don't know, Missing"
nnns_post_exam11,Alertness,"Never alert and rarely or never responsive to direct stimulation, Brief alerting; responsiveness are brief and always delayed- alerting and orientation very brief and general; not specific to stimulus, Quality of alerting is variable; responsiveness is brief and often delayed, Quality of alerting is variable; responsiveness is brief but not delayed, Alerting is less variable; responsiveness is of moderate duration but may be delayed, Alerting is less variable; responsiveness is moderately sustained; not delayed and not variable, Alerting is sustained; responsiveness is neither delayed nor variable, Sustained periods of alertness throughout the examination. Alerting and orientation frequent; stimulation brings infant to alert state and quiets infant, Always alert for most of examination; intensely and predictably alert, Item not scored because the infant is never in an appropriate state, Not applicable, Declined, Don't know, Missing","Alertness: Never alert and rarely or never responsive to direct stimulation, Brief alerting; responsiveness are brief and always delayed- alerting and orientation very brief and general; not specific to stimulus, Quality of alerting is variable; responsiveness is brief and often delayed, Quality of alerting is variable; responsiveness is brief but not delayed, Alerting is less variable; responsiveness is of moderate duration but may be delayed, Alerting is less variable; responsiveness is moderately sustained; not delayed and not variable, Alerting is sustained; responsiveness is neither delayed nor variable, Sustained periods of alertness throughout the examination. Alerting and orientation frequent; stimulation brings infant to alert state and quiets infant, Always alert for most of examination; intensely and predictably alert, Item not scored because the infant is never in an appropriate state, Not applicable, Declined, Don't know, Missing"
nnns_post_exam12,General tone - Predominant tone,"Flaccid; limp like a rag doll; no resistance when limbs are moved; may have complete head lag in Pull to Sit, Flaccid; limp most of the time; but responds with some tone less than 25% of the time, Flaccid; limp most of the time; but responds with some tone at least 25% of the time, Some tone half of the time; responds with average tone less than half of the time, Tone average when handled; lies with relaxed tone at rest, Responsive with good tone as infant is handled approximately 75% of the time; may be on the hypertonic side up to 25% of the time; variable tone in resting, Is on the hypertonic side approximately 50% of the time, When handled; responsive with hypertonicity about 75% of the time, Hypertonic at rest (in flexion) and hypertonic all of the time, Tone not consistent either because infant alternates between hypertonicity and hypotonicity or because of an imbalance of hyper/hypotonicity between upper and lower extremities or between trunk and extremities, Item not scored because the infant is never in an appropriate state, Not applicable, Declined, Don't know, Missing","General tone - Predominant tone: Flaccid; limp like a rag doll; no resistance when limbs are moved; may have complete head lag in Pull to Sit, Flaccid; limp most of the time; but responds with some tone less than 25% of the time, Flaccid; limp most of the time; but responds with some tone at least 25% of the time, Some tone half of the time; responds with average tone less than half of the time, Tone average when handled; lies with relaxed tone at rest, Responsive with good tone as infant is handled approximately 75% of the time; may be on the hypertonic side up to 25% of the time; variable tone in resting, Is on the hypertonic side approximately 50% of the time, When handled; responsive with hypertonicity about 75% of the time, Hypertonic at rest (in flexion) and hypertonic all of the time, Tone not consistent either because infant alternates between hypertonicity and hypotonicity or because of an imbalance of hyper/hypotonicity between upper and lower extremities or between trunk and extremities, Item not scored because the infant is never in an appropriate state, Not applicable, Declined, Don't know, Missing"
nnns_post_exam13,Motor maturity,"Cogwheel-like jerkiness; overshooting of legs and arms in all directions, Jerky movements predominate with mild overshooting, Jerky movements with little or no overshooting; there may be some smooth movements, Jerky movements half of the time smooth movements half of the time arcs up to 45 degrees, Smooth movements predominate; arcs predominantly 60 degrees half of the time; may be some jerkiness, Smooth movements arcs predominantly 60 degrees, Smooth movements and arcs of 90 degrees less than half of the time, Smooth movements and unrestricted arcs laterally to 90 degrees most of the time, Smoothness; unrestricted arcs of more than 90 degrees all of the time, Item not scored because the infant is never in appropriate state, Not applicable, Declined, Don't know, Missing","Motor maturity: Cogwheel-like jerkiness; overshooting of legs and arms in all directions, Jerky movements predominate with mild overshooting, Jerky movements with little or no overshooting; there may be some smooth movements, Jerky movements half of the time smooth movements half of the time arcs up to 45 degrees, Smooth movements predominate; arcs predominantly 60 degrees half of the time; may be some jerkiness, Smooth movements arcs predominantly 60 degrees, Smooth movements and arcs of 90 degrees less than half of the time, Smooth movements and unrestricted arcs laterally to 90 degrees most of the time, Smoothness; unrestricted arcs of more than 90 degrees all of the time, Item not scored because the infant is never in appropriate state, Not applicable, Declined, Don't know, Missing"
nnns_post_exam14,Consolability with intervention,"Not consolable, Pacifier or finger to suck in addition to wrapping; holding; and rocking, Wrapping; holding in arms or on shoulder; and rocking, Holding and rocking, Picking up and holding on shoulder, Picking up and holding in arms, Hand on belly and restraining one or both arms, Hand steadily on belly, Examiner's voice and face alone, Examiner's face alone, Item not administered because the infant is never in appropriate state, Item not administered due to examiner error, Not applicable, Declined, Don't know, Missing","Consolability with intervention: Not consolable, Pacifier or finger to suck in addition to wrapping; holding; and rocking, Wrapping; holding in arms or on shoulder; and rocking, Holding and rocking, Picking up and holding on shoulder, Picking up and holding in arms, Hand on belly and restraining one or both arms, Hand steadily on belly, Examiner's voice and face alone, Examiner's face alone, Item not administered because the infant is never in appropriate state, Item not administered due to examiner error, Not applicable, Declined, Don't know, Missing"
nnns_post_exam15,Peak of excitement,"Low level of arousal to all stimuli; never about State 2; does not awaken fully, Some arousal to stimulation and reaches State 3, Infant reaches State 4 only briefly; but is predominantly in State 3 or lower, Infant is predominantly in State 4 or lower but may reach State 5, Infant reaches State 6 after stimulation once or twice; but predominantly is in State 5 or lower, Infant reaches State 6 after stimulation more than twice but returns to a lower state spontaneously; at least two times, Infant reaches State 6 in response to stimuli more than twice; but with consoling is easily brought back to lower state, Infant screams (State 6) in response to stimulation more than twice; although some quieting can occur with consoling; with difficulty; usually needs finger or pacifier to console, Infant achieves insulated crying state in which the infant is unavailable and unresponsive; infant is unable to be quieted or soothed, Not applicable, Declined, Don't know, Missing","Peak of excitement: Low level of arousal to all stimuli; never about State 2; does not awaken fully, Some arousal to stimulation and reaches State 3, Infant reaches State 4 only briefly; but is predominantly in State 3 or lower, Infant is predominantly in State 4 or lower but may reach State 5, Infant reaches State 6 after stimulation once or twice; but predominantly is in State 5 or lower, Infant reaches State 6 after stimulation more than twice but returns to a lower state spontaneously; at least two times, Infant reaches State 6 in response to stimuli more than twice; but with consoling is easily brought back to lower state, Infant screams (State 6) in response to stimulation more than twice; although some quieting can occur with consoling; with difficulty; usually needs finger or pacifier to console, Infant achieves insulated crying state in which the infant is unavailable and unresponsive; infant is unable to be quieted or soothed, Not applicable, Declined, Don't know, Missing"
nnns_post_exam16,Rapidity of build-up,"Infant never upset, At end of examination with infant supine in crib for alternative orders; infant reaches State 6 in the last third of the examination, During Infant Spin, During Orientation items when infant is supine on examiner's lap, During Infant Prone package; for alternative orders; infant reaches State 6 in the middle third of the examination, During Upright Responses package, During Upper Extremities and Face package, During Lower Extremety Reflexes package; for alternative orders; infant reaches State 6 in the first third of the examination, During Response Decrement to Tactile Stimulation of the Foot, During Unwrap and Supine package, During Habituation package (only if first package in examination), Never was quiet enough to score this item, Not applicable, Declined, Don't know, Missing","Rapidity of build-up: Infant never upset, At end of examination with infant supine in crib for alternative orders; infant reaches State 6 in the last third of the examination, During Infant Spin, During Orientation items when infant is supine on examiner's lap, During Infant Prone package; for alternative orders; infant reaches State 6 in the middle third of the examination, During Upright Responses package, During Upper Extremities and Face package, During Lower Extremety Reflexes package; for alternative orders; infant reaches State 6 in the first third of the examination, During Response Decrement to Tactile Stimulation of the Foot, During Unwrap and Supine package, During Habituation package (only if first package in examination), Never was quiet enough to score this item, Not applicable, Declined, Don't know, Missing"
nnns_post_exam17,Irritability,"No irritable fussing to any of the above, Irritable fussing during one of the packages or items, Irritable fussing during two of the packages or items, Irritable fussing during three of the packages or items, Irritable fussing during four of the packages or items, Irritable fussing during five of the packages or items, Irritable fussing during six of the packages or items, Irritable fussing during seven of the packages or items, Irritable fusing during eight of the packages or items or more than two of the packages or items not administered because the infant was in a State 6, Infant never achieved an awake state, Not applicable, Declined, Don't know, Missing","Irritability: No irritable fussing to any of the above, Irritable fussing during one of the packages or items, Irritable fussing during two of the packages or items, Irritable fussing during three of the packages or items, Irritable fussing during four of the packages or items, Irritable fussing during five of the packages or items, Irritable fussing during six of the packages or items, Irritable fussing during seven of the packages or items, Irritable fusing during eight of the packages or items or more than two of the packages or items not administered because the infant was in a State 6, Infant never achieved an awake state, Not applicable, Declined, Don't know, Missing"
nnns_post_exam18,Spontaneous activity,"None, Slight, Moderate, Much, Continuous but consolable movement, Continuous; inconsolable movement, Item not scored because the infant is never in appropriate state, Not applicable, Declined, Don't know, Missing","Spontaneous activity: None, Slight, Moderate, Much, Continuous but consolable movement, Continuous; inconsolable movement, Item not scored because the infant is never in appropriate state, Not applicable, Declined, Don't know, Missing"
nnns_post_exam19,Elicited activity,"None, Slight, Moderate, Much, Continuous but consolable movement, Continuous inconsolable movement, Item not scored because the infant is never in appropriate state, Not applicable, Declined, Don't know, Missing","Elicited activity: None, Slight, Moderate, Much, Continuous but consolable movement, Continuous inconsolable movement, Item not scored because the infant is never in appropriate state, Not applicable, Declined, Don't know, Missing"
nnns_post_exam20,Tremulousness,"No tremors or temulousness noted, Tremors only during sleep, Tremors only after the Moro reflex or startles, Temulousness seen one or two times in States 5 or 6, Tremulousness seen three or more times in States 5 or 6, Tremulousness seen one or two times in State 4, Tremulousness seen three times in State 4; fewer than three times in other states, Tremulousness seen more than three times in State 4 and may be seen more than three times in each of several other states, Temulousness seen consistently and repeatedly in all states, Not applicable, Declined, Don't know, Missing","Tremulousness: No tremors or temulousness noted, Tremors only during sleep, Tremors only after the Moro reflex or startles, Temulousness seen one or two times in States 5 or 6, Tremulousness seen three or more times in States 5 or 6, Tremulousness seen one or two times in State 4, Tremulousness seen three times in State 4; fewer than three times in other states, Tremulousness seen more than three times in State 4 and may be seen more than three times in each of several other states, Temulousness seen consistently and repeatedly in all states, Not applicable, Declined, Don't know, Missing"
nnns_post_exam21,Amount of startle during exam,"No startles noted, Startles as a response to examiner's attempt to set off a Moro reflex only, One startle; excluding Moro reflex, Two startles; excluding Moro reflex, Three startles; excluding Moro reflex, Four startles; including Moro reflex, Five-six startles; excluding Moro reflex, Seven-nine startles; excluding Moro reflex, Ten or more startles; excluding Moro reflex, Item not scored because the infant is never in appropriate state, Not applicable, Declined, Don't know, Missing","Amount of startle during exam: No startles noted, Startles as a response to examiner's attempt to set off a Moro reflex only, One startle; excluding Moro reflex, Two startles; excluding Moro reflex, Three startles; excluding Moro reflex, Four startles; including Moro reflex, Five-six startles; excluding Moro reflex, Seven-nine startles; excluding Moro reflex, Ten or more startles; excluding Moro reflex, Item not scored because the infant is never in appropriate state, Not applicable, Declined, Don't know, Missing"
nnns_post_exam22,Lability of skin color,"Skin color does not change during the examination, Skin color changes minimally during the examination, Skin color changes to slightly more blue around mouth or extremities during the examination; improving somewhat during the examination, Slight change in skin color to acrocyanosis in extremities as well as chest or abdomen but more rapid recovery; there may be mild cyanosis around mouth or extremities after stress during exam, Changes in skin color on parts of the body only; there may be a mild color change of chest and abdomen; mottling may appear on face; chest or limbs; original color returns quickly, Complete change in skin color to red over whole body but color returns with soothing or covering, Skin color changes to very red when uncovered or crying; recovers slowly if covered or soothed, Skin color rapidly changes to very red early in the examination; recovery is slow, Marked rapid changes in skin color to very red; good color does not return during rest of examination, Infant becomes pale and dusky during examination; but skin color improves with handling, Infant becomes pale and dusky during examination; but color does not improve with handling, Not applicable, Declined, Don't know, Missing","Lability of skin color: Skin color does not change during the examination, Skin color changes minimally during the examination, Skin color changes to slightly more blue around mouth or extremities during the examination; improving somewhat during the examination, Slight change in skin color to acrocyanosis in extremities as well as chest or abdomen but more rapid recovery; there may be mild cyanosis around mouth or extremities after stress during exam, Changes in skin color on parts of the body only; there may be a mild color change of chest and abdomen; mottling may appear on face; chest or limbs; original color returns quickly, Complete change in skin color to red over whole body but color returns with soothing or covering, Skin color changes to very red when uncovered or crying; recovers slowly if covered or soothed, Skin color rapidly changes to very red early in the examination; recovery is slow, Marked rapid changes in skin color to very red; good color does not return during rest of examination, Infant becomes pale and dusky during examination; but skin color improves with handling, Infant becomes pale and dusky during examination; but color does not improve with handling, Not applicable, Declined, Don't know, Missing"
nnns_post_exam23,Lability of states,"0-2 changes over the course of the examination, 3-5 changes over the course of the examination, 6-8 changes over the course of the examination, 9-10 changes over the course of the examination, 11-13 changes over the course of the examination, 14-15 changes over the course of the examination, 16-18 changes over the course of the examination, 19-22 changes over the course of the examination, 23 or more changes over the course of the examination, Not applicable, Declined, Don't know, Missing","Lability of states: 0-2 changes over the course of the examination, 3-5 changes over the course of the examination, 6-8 changes over the course of the examination, 9-10 changes over the course of the examination, 11-13 changes over the course of the examination, 14-15 changes over the course of the examination, 16-18 changes over the course of the examination, 19-22 changes over the course of the examination, 23 or more changes over the course of the examination, Not applicable, Declined, Don't know, Missing"
nnns_post_exam24,Self-quieting activity,"Makes not attempt to quiet self; intervention always necessary, A brief attempt to quiet self (fewer than 5 seconds); but with no success, Several attempts to quiet self; but with no success, One brief success in quieting self for period of 5 seconds or more, Several brief successes (5 seconds or more) in quieting self, An attempt to quiet self that results in a sustained successful quieting with the infant returning to State 4 or lower (for at least 15 seconds), One sustained (15 seconds) and several brief (5 seconds) successes in quieting self, At least two (15 seconds) successes in quieting self, Consistently quiets self for sustained periods; never needs consoling, Item not scored because the infant is never in appropriate state, Not applicable, Declined, Don't know, Missing","Self-quieting activity: Makes not attempt to quiet self; intervention always necessary, A brief attempt to quiet self (fewer than 5 seconds); but with no success, Several attempts to quiet self; but with no success, One brief success in quieting self for period of 5 seconds or more, Several brief successes (5 seconds or more) in quieting self, An attempt to quiet self that results in a sustained successful quieting with the infant returning to State 4 or lower (for at least 15 seconds), One sustained (15 seconds) and several brief (5 seconds) successes in quieting self, At least two (15 seconds) successes in quieting self, Consistently quiets self for sustained periods; never needs consoling, Item not scored because the infant is never in appropriate state, Not applicable, Declined, Don't know, Missing"
nnns_post_exam25,Hand to mouth facility,"No attempt to bring hands to mouth, Brief swipes at mouth area; no real contact, Hand brought to mouth and contact; but no insertion; once only, Hand brought next to mouth area twice; no insertion, Hand brought next to mouth area at least three times; but no real insertion; abortive attempts to suck on fist, One insertion that is brief; unable to be maintained, Several actual insertions that are brief; not maintained; abortive sucking attempts; more than three times next to mouth, Several brief insertions in rapid succession in an attempt to prolong sucking at this time, Fist and/or fingers actually inserted and sucking on them for 15 seconds or more, Frantic; exaggerated attempts to get hand in mouth, Not applicable, Declined, Don't know, Missing","Hand to mouth facility: No attempt to bring hands to mouth, Brief swipes at mouth area; no real contact, Hand brought to mouth and contact; but no insertion; once only, Hand brought next to mouth area twice; no insertion, Hand brought next to mouth area at least three times; but no real insertion; abortive attempts to suck on fist, One insertion that is brief; unable to be maintained, Several actual insertions that are brief; not maintained; abortive sucking attempts; more than three times next to mouth, Several brief insertions in rapid succession in an attempt to prolong sucking at this time, Fist and/or fingers actually inserted and sucking on them for 15 seconds or more, Frantic; exaggerated attempts to get hand in mouth, Not applicable, Declined, Don't know, Missing"
nnns_post_exam26,First predominant State (apart from Habituation),"State 1, State 2, State 3, State 4, State 5, State 6, Not applicable, Declined, Don't know, Missing","First predominant State (apart from Habituation): State 1, State 2, State 3, State 4, State 5, State 6, Not applicable, Declined, Don't know, Missing"
nnns_post_exam27,Second predominant State (apart from Habituation),"State 1, State 2, State 3, State 4, State 5, State 6, Not applicable, Declined, Don't know, Missing","Second predominant State (apart from Habituation): State 1, State 2, State 3, State 4, State 5, State 6, Not applicable, Declined, Don't know, Missing"
nnns_post_exam28,Post-Examination State observation,"State 1, State 2, State 3, State 4, State 5, State 6, Not applicable, Declined, Don't know, Missing","Post-Examination State observation: State 1, State 2, State 3, State 4, State 5, State 6, Not applicable, Declined, Don't know, Missing"
nnns_order,Order of administration,"Preferred order, Alternative order: Orientation items after Pull to Sit, Third order: packages maintained but out of order, Fourth order: items administered independent of packages, Fifth order: Habituation not administered at all, Interrupted order: other procedures or nap time interrupt the examination, Not applicable, Declined, Don't know, Missing","Order of administration: Preferred order, Alternative order: Orientation items after Pull to Sit, Third order: packages maintained but out of order, Fourth order: items administered independent of packages, Fifth order: Habituation not administered at all, Interrupted order: other procedures or nap time interrupt the examination, Not applicable, Declined, Don't know, Missing"
nnns_stress_phys1,Physiological: Labored breathing,"No, Yes, Not applicable, Declined, Don't know, Missing","Physiological: Labored breathing: No, Yes, Not applicable, Declined, Don't know, Missing"
nnns_stress_phys2,Physiological: Nasal flaring,"No, Yes, Not applicable, Declined, Don't know, Missing","Physiological: Nasal flaring: No, Yes, Not applicable, Declined, Don't know, Missing"
nnns_stress_auto1,Autonomic: Sweating,"No, Yes, Not applicable, Declined, Don't know, Missing","Autonomic: Sweating: No, Yes, Not applicable, Declined, Don't know, Missing"
nnns_stress_auto2,Autonomic: Spit-up,"No, Yes, Not applicable, Declined, Don't know, Missing","Autonomic: Spit-up: No, Yes, Not applicable, Declined, Don't know, Missing"
nnns_stress_auto3,Autonomic: Hiccoughing,"No, Yes, Not applicable, Declined, Don't know, Missing","Autonomic: Hiccoughing: No, Yes, Not applicable, Declined, Don't know, Missing"
nnns_stress_auto4,Autonomic: Sneezing,"No, Yes, Not applicable, Declined, Don't know, Missing","Autonomic: Sneezing: No, Yes, Not applicable, Declined, Don't know, Missing"
nnns_stress_auto5,Autonomic: Nasal stuffiness,"No, Yes, Not applicable, Declined, Don't know, Missing","Autonomic: Nasal stuffiness: No, Yes, Not applicable, Declined, Don't know, Missing"
nnns_stress_auto6,Autonomic: Yawning,"No, Yes, Not applicable, Declined, Don't know, Missing","Autonomic: Yawning: No, Yes, Not applicable, Declined, Don't know, Missing"
nnns_stress_cns1,CNS: Abnormal sucking,"No, Yes, Not applicable, Declined, Don't know, Missing","CNS: Abnormal sucking: No, Yes, Not applicable, Declined, Don't know, Missing"
nnns_stress_cns2,CNS: Choreiform movements,"No, Yes, Not applicable, Declined, Don't know, Missing","CNS: Choreiform movements: No, Yes, Not applicable, Declined, Don't know, Missing"
nnns_stress_cns3,CNS: Athetoid postures and movements,"No, Yes, Not applicable, Declined, Don't know, Missing","CNS: Athetoid postures and movements: No, Yes, Not applicable, Declined, Don't know, Missing"
nnns_stress_cns4,CNS: Tremors: low frequency/high amplitude,"No, Yes, Not applicable, Declined, Don't know, Missing","CNS: Tremors: low frequency/high amplitude: No, Yes, Not applicable, Declined, Don't know, Missing"
nnns_stress_cns5,CNS: Tremors: high frequency/low amplitude,"No, Yes, Not applicable, Declined, Don't know, Missing","CNS: Tremors: high frequency/low amplitude: No, Yes, Not applicable, Declined, Don't know, Missing"
nnns_stress_cns6,CNS: Cogwheel movements,"No, Yes, Not applicable, Declined, Don't know, Missing","CNS: Cogwheel movements: No, Yes, Not applicable, Declined, Don't know, Missing"
nnns_stress_cns7,CNS: Startles,"No, Yes, Not applicable, Declined, Don't know, Missing","CNS: Startles: No, Yes, Not applicable, Declined, Don't know, Missing"
nnns_stress_cns8,CNS: Hypertonia,"No, Yes, Not applicable, Declined, Don't know, Missing","CNS: Hypertonia: No, Yes, Not applicable, Declined, Don't know, Missing"
nnns_stress_cns9,CNS: Back arching,"No, Yes, Not applicable, Declined, Don't know, Missing","CNS: Back arching: No, Yes, Not applicable, Declined, Don't know, Missing"
nnns_stress_cns10,CNS: Fisting,"No, Yes, Not applicable, Declined, Don't know, Missing","CNS: Fisting: No, Yes, Not applicable, Declined, Don't know, Missing"
nnns_stress_cns11,CNS: Cortical thumb,"No, Yes, Not applicable, Declined, Don't know, Missing","CNS: Cortical thumb: No, Yes, Not applicable, Declined, Don't know, Missing"
nnns_stress_cns12,CNS: Myoclonic jerks,"No, Yes, Not applicable, Declined, Don't know, Missing","CNS: Myoclonic jerks: No, Yes, Not applicable, Declined, Don't know, Missing"
nnns_stress_cns13,CNS: Does the patient have generalized seizures,"No, Yes, Not applicable, Declined, Don't know, Missing","CNS: Does the patient have generalized seizures: No, Yes, Not applicable, Declined, Don't know, Missing"
nnns_stress_cns14,CNS: Abnormal posture,"No, Yes, Not applicable, Declined, Don't know, Missing","CNS: Abnormal posture: No, Yes, Not applicable, Declined, Don't know, Missing"
nnns_stress_skin1,Skin: Pallor,"No, Yes, Not applicable, Declined, Don't know, Missing","Skin: Pallor: No, Yes, Not applicable, Declined, Don't know, Missing"
nnns_stress_skin2,Skin: Mottling,"No, Yes, Not applicable, Declined, Don't know, Missing","Skin: Mottling: No, Yes, Not applicable, Declined, Don't know, Missing"
nnns_stress_skin3,Skin: Paroxysmal cyanosis,"No, Yes, Not applicable, Declined, Don't know, Missing","Skin: Paroxysmal cyanosis: No, Yes, Not applicable, Declined, Don't know, Missing"
nnns_stress_skin4,Skin: Overall cyanosis,"No, Yes, Not applicable, Declined, Don't know, Missing","Skin: Overall cyanosis: No, Yes, Not applicable, Declined, Don't know, Missing"
nnns_stress_skin5,Skin: Circumoral cyanosis,"No, Yes, Not applicable, Declined, Don't know, Missing","Skin: Circumoral cyanosis: No, Yes, Not applicable, Declined, Don't know, Missing"
nnns_stress_skin6,Skin: Periocular cyanosis,"No, Yes, Not applicable, Declined, Don't know, Missing","Skin: Periocular cyanosis: No, Yes, Not applicable, Declined, Don't know, Missing"
nnns_stress_visual1,Visual: Gaze aversion during orientation,"No, Yes, Not applicable, Declined, Don't know, Missing","Visual: Gaze aversion during orientation: No, Yes, Not applicable, Declined, Don't know, Missing"
nnns_stress_visual2,Visual: Pull down during orientation,"No, Yes, Not applicable, Declined, Don't know, Missing","Visual: Pull down during orientation: No, Yes, Not applicable, Declined, Don't know, Missing"
nnns_stress_visual3,Visual: Fuss/Cry during orientation,"No, Yes, Not applicable, Declined, Don't know, Missing","Visual: Fuss/Cry during orientation: No, Yes, Not applicable, Declined, Don't know, Missing"
nnns_stress_visual4,Visual: Obligatory following during orientation,"No, Yes, Not applicable, Declined, Don't know, Missing","Visual: Obligatory following during orientation: No, Yes, Not applicable, Declined, Don't know, Missing"
nnns_stress_visual5,Visual: End point nystagmus during orientation,"No, Yes, Not applicable, Declined, Don't know, Missing","Visual: End point nystagmus during orientation: No, Yes, Not applicable, Declined, Don't know, Missing"
nnns_stress_visual6,Visual: Sustained spontaneous nystagmus,"No, Yes, Not applicable, Declined, Don't know, Missing","Visual: Sustained spontaneous nystagmus: No, Yes, Not applicable, Declined, Don't know, Missing"
nnns_stress_visual7,Visual: Visual locking,"No, Yes, Not applicable, Declined, Don't know, Missing","Visual: Visual locking: No, Yes, Not applicable, Declined, Don't know, Missing"
nnns_stress_visual8,Visual: Hyperalertness,"No, Yes, Not applicable, Declined, Don't know, Missing","Visual: Hyperalertness: No, Yes, Not applicable, Declined, Don't know, Missing"
nnns_stress_visual9,Visual: Setting sun sign,"No, Yes, Not applicable, Declined, Don't know, Missing","Visual: Setting sun sign: No, Yes, Not applicable, Declined, Don't know, Missing"
nnns_stress_visual10,Visual: Roving eye movements,"No, Yes, Not applicable, Declined, Don't know, Missing","Visual: Roving eye movements: No, Yes, Not applicable, Declined, Don't know, Missing"
nnns_stress_visual11,Visual: Strabismus,"No, Yes, Not applicable, Declined, Don't know, Missing","Visual: Strabismus: No, Yes, Not applicable, Declined, Don't know, Missing"
