ECHO Variable,ECHO Variable Description,UKMCS Variable,UKMCS Variable Description,Similarity Score
1.  I was irritated more than people knew.,"1.  I was irritated more than people knew.: Never, Rarely, Sometimes, Often, Always, Not applicable, Declined, Don't know, Missing",Feelings of annoyance or irritation ,"Feelings of annoyance or irritation : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = ...almost all the time,; 2.0 = very frequently,; 3.0 = frequently,; 4.0 = occasionally,; 5.0 = very rarely,; 6.0 = or never?",0.883630134444576
2.  I felt angry.,"2.  I felt angry.: Never, Rarely, Sometimes, Often, Always, Not applicable, Declined, Don't know, Missing",Feelings of annoyance or irritation ,"Feelings of annoyance or irritation : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = ...almost all the time,; 2.0 = very frequently,; 3.0 = frequently,; 4.0 = occasionally,; 5.0 = very rarely,; 6.0 = or never?",0.8749330778208785
3.  I felt like I was ready to explode.,"3.  I felt like I was ready to explode.: Never, Rarely, Sometimes, Often, Always, Not applicable, Declined, Don't know, Missing",Feelings of annoyance or irritation ,"Feelings of annoyance or irritation : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = ...almost all the time,; 2.0 = very frequently,; 3.0 = frequently,; 4.0 = occasionally,; 5.0 = very rarely,; 6.0 = or never?",0.8385222785612335
4.  I was grouchy.,"4.  I was grouchy.: Never, Rarely, Sometimes, Often, Always, Not applicable, Declined, Don't know, Missing",Feelings of annoyance or irritation ,"Feelings of annoyance or irritation : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = ...almost all the time,; 2.0 = very frequently,; 3.0 = frequently,; 4.0 = occasionally,; 5.0 = very rarely,; 6.0 = or never?",0.8600435606915489
5.  I was annoyed.,"5.  I was annoyed.: Never, Rarely, Sometimes, Often, Always, Not applicable, Declined, Don't know, Missing",Feelings of annoyance or irritation ,"Feelings of annoyance or irritation : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = ...almost all the time,; 2.0 = very frequently,; 3.0 = frequently,; 4.0 = occasionally,; 5.0 = very rarely,; 6.0 = or never?",0.8749780114905552
1.  I felt fearful.,"1.  I felt fearful.: Never, Rarely, Sometimes, Often, Always, Not applicable, Declined, Don't know, Missing",Suddenly scared for no good reason  ,Suddenly scared for no good reason  : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes,0.8616897352245729
2.  I found it hard to focus on anything other than my anxiety.,"2.  I found it hard to focus on anything other than my anxiety.: Never, Rarely, Sometimes, Often, Always, Not applicable, Declined, Don't know, Missing",Often worried about things  ,Often worried about things  : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes,0.8457574868193791
3.  My worries overwhelmed me.,"3.  My worries overwhelmed me.: Never, Rarely, Sometimes, Often, Always, Not applicable, Declined, Don't know, Missing",Often worried about things  ,Often worried about things  : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes,0.8616376840121703
4.  I felt uneasy.,"4.  I felt uneasy.: Never, Rarely, Sometimes, Often, Always, Not applicable, Declined, Don't know, Missing",Feelings of annoyance or irritation ,"Feelings of annoyance or irritation : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = ...almost all the time,; 2.0 = very frequently,; 3.0 = frequently,; 4.0 = occasionally,; 5.0 = very rarely,; 6.0 = or never?",0.8581379306948305
5.  I felt nervous.,"5.  I felt nervous.: Never, Rarely, Sometimes, Often, Always, Not applicable, Declined, Don't know, Missing",Often worried about things  ,Often worried about things  : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes,0.8509968444978265
6.  I felt like I needed help for my anxiety.,"6.  I felt like I needed help for my anxiety.: Never, Rarely, Sometimes, Often, Always, Not applicable, Declined, Don't know, Missing",Whether ever diagnosed with depresion/serious anxiety   ,Whether ever diagnosed with depresion/serious anxiety   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes,0.844235003978104
7.  I felt anxious.,"7.  I felt anxious.: Never, Rarely, Sometimes, Often, Always, Not applicable, Declined, Don't know, Missing",Often worried about things  ,Often worried about things  : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes,0.8611085193401345
8.  I felt tense.,"8.  I felt tense.: Never, Rarely, Sometimes, Often, Always, Not applicable, Declined, Don't know, Missing",Feelings of annoyance or irritation ,"Feelings of annoyance or irritation : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = ...almost all the time,; 2.0 = very frequently,; 3.0 = frequently,; 4.0 = occasionally,; 5.0 = very rarely,; 6.0 = or never?",0.8581516876473716
"1.  In most ways, my life is close to perfect.","1.  In most ways, my life is close to perfect.: Strongly disagree, Disagree, Slightly disagree, Neither agree nor disagree, Slightly agree, Agree, Strongly agree, Not applicable, Declined, Don't know, Missing","RosenbergGrid: On the whole, I am satisfied with myself ","RosenbergGrid: On the whole, I am satisfied with myself : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Strongly agree; 2.0 = Agree; 3.0 = Disagree; 4.0 = Strongly disagree",0.8539939279782294
"2.  If I could live my life over, I would change almost nothing.","2.  If I could live my life over, I would change almost nothing.: Strongly disagree, Disagree, Slightly disagree, Neither agree nor disagree, Slightly agree, Agree, Strongly agree, Not applicable, Declined, Don't know, Missing","RosenbergGrid: On the whole, I am satisfied with myself ","RosenbergGrid: On the whole, I am satisfied with myself : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Strongly agree; 2.0 = Agree; 3.0 = Disagree; 4.0 = Strongly disagree",0.8322467784768881
3.  I am satisfied with my life.,"3.  I am satisfied with my life.: Strongly disagree, Disagree, Slightly disagree, Neither agree nor disagree, Slightly agree, Agree, Strongly agree, Not applicable, Declined, Don't know, Missing",Life satisfaction   ,Life satisfaction   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = completely dissatisfied,0.8551193859576776
4.  So far I have gotten the important things I want in life.,"4.  So far I have gotten the important things I want in life.: Strongly disagree, Disagree, Slightly disagree, Neither agree nor disagree, Slightly agree, Agree, Strongly agree, Not applicable, Declined, Don't know, Missing",Feels useless at times  ,Feels useless at times  : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Strongly agree; 2.0 = Agree; 3.0 = Disagree; 4.0 = Strongly disagree,0.8487610564910986
5.  My life situation is excellent.,"5.  My life situation is excellent.: Strongly disagree, Disagree, Slightly disagree, Neither agree nor disagree, Slightly agree, Agree, Strongly agree, Not applicable, Declined, Don't know, Missing",Family life suffers when woman has full-time job,Family life suffers when woman has full-time job: -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Strongly agree; 2.0 = Agree; 3.0 = Neither agree nor disagree; 4.0 = Disagree; 5.0 = Strongly disagree,0.8497473324896753
"If Other Respondent , Code:","If Other Respondent , Code:: ",Person Number for Main or (Proxy)Partner respondent ,Person Number for Main or (Proxy)Partner respondent : ,0.8434844218364574
1.  I have a good sense of what makes my life meaningful.,"1.  I have a good sense of what makes my life meaningful.: Strongly disagree, Disagree, Neither agree nor disagree, Agree, Strongly agree, Not applicable, Declined, Don't know, Missing",Feels useless at times  ,Feels useless at times  : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Strongly agree; 2.0 = Agree; 3.0 = Disagree; 4.0 = Strongly disagree,0.8565340722129056
2.  I generally feel that what I do in my life is valuable and worthwhile.,"2.  I generally feel that what I do in my life is valuable and worthwhile.: Strongly disagree, Disagree, Neither agree nor disagree, Agree, Strongly agree, Not applicable, Declined, Don't know, Missing",Feels useless at times  ,Feels useless at times  : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Strongly agree; 2.0 = Agree; 3.0 = Disagree; 4.0 = Strongly disagree,0.8596436879596681
3.  I have very clear goals and aims for my life.,"3.  I have very clear goals and aims for my life.: Strongly disagree, Disagree, Neither agree nor disagree, Agree, Strongly agree, Not applicable, Declined, Don't know, Missing","RosenbergGrid: On the whole, I am satisfied with myself ","RosenbergGrid: On the whole, I am satisfied with myself : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Strongly agree; 2.0 = Agree; 3.0 = Disagree; 4.0 = Strongly disagree",0.8370395706428422
4.  My life has meaning.,"4.  My life has meaning.: Not at all, A little bit, Somewhat, Quite a bit, Very much, Not applicable, Declined, Don't know, Missing",Feels useless at times  ,Feels useless at times  : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Strongly agree; 2.0 = Agree; 3.0 = Disagree; 4.0 = Strongly disagree,0.825824082371504
5.  My life has significance.,"5.  My life has significance.: Not at all, A little bit, Somewhat, Quite a bit, Very much, Not applicable, Declined, Don't know, Missing",Have control over life  ,Have control over life  : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = I usually have a free choice and control over my; 2.0 = Whatever I do has no real effect on what happens to,0.8217152993499224
6.  I have a clear sense of direction in life.,"6.  I have a clear sense of direction in life.: Not at all, A little bit, Somewhat, Quite a bit, Very much, Not applicable, Declined, Don't know, Missing",Have control over life  ,Have control over life  : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = I usually have a free choice and control over my; 2.0 = Whatever I do has no real effect on what happens to,0.8308358310917339
7.  I experience deep fulfillment in my life.,"7.  I experience deep fulfillment in my life.: Not at all, A little bit, Somewhat, Quite a bit, Very much, Not applicable, Declined, Don't know, Missing",Life satisfaction   ,Life satisfaction   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = completely dissatisfied,0.8335874976015294
8.  My life has purpose.,"8.  My life has purpose.: Not at all, A little bit, Somewhat, Quite a bit, Very much, Not applicable, Declined, Don't know, Missing",Have control over life  ,Have control over life  : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = I usually have a free choice and control over my; 2.0 = Whatever I do has no real effect on what happens to,0.8260677150562528
1. My sleep quality was....,"1. My sleep quality was....: Very poor, Poor, Fair, Good, Very good, Not applicable, Declined, Don't know, Missing",Bothered at first by different sleeping place.  ,Bothered at first by different sleeping place.  : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Almost never; 2.0 = Rarely; 3.0 = Usually does not; 4.0 = Often; 5.0 = Almost always,0.8565800952889336
2. My sleep was refreshing.,"2. My sleep was refreshing.: Not at all, A little bit, Somewhat, Quite a bit, Very much, Not applicable, Declined, Don't know, Missing",Bothered at first by different sleeping place.  ,Bothered at first by different sleeping place.  : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Almost never; 2.0 = Rarely; 3.0 = Usually does not; 4.0 = Often; 5.0 = Almost always,0.8513125645442555
3. I had a problem with my sleep.,"3. I had a problem with my sleep.: Not at all, A little bit, Somewhat, Quite a bit, Very much, Not applicable, Declined, Don't know, Missing",Bothered at first by different sleeping place.  ,Bothered at first by different sleeping place.  : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Almost never; 2.0 = Rarely; 3.0 = Usually does not; 4.0 = Often; 5.0 = Almost always,0.8637967013587573
4. I had difficulty falling asleep.,"4. I had difficulty falling asleep.: Not at all, A little bit, Somewhat, Quite a bit, Very much, Not applicable, Declined, Don't know, Missing",Bothered at first by different sleeping place.  ,Bothered at first by different sleeping place.  : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Almost never; 2.0 = Rarely; 3.0 = Usually does not; 4.0 = Often; 5.0 = Almost always,0.8652502137906743
"1. The problems of taking care of a child are easy to solve once you know how your actions affect the child, an understanding I have acquired.","1. The problems of taking care of a child are easy to solve once you know how your actions affect the child, an understanding I have acquired.: Strongly Disagree, Disagree, Somewhat Disagree, Somewhat Agree, Agree, Strongly Agree, Not applicable, Declined, Don't know, Missing",Child suffers if mother works before school ,Child suffers if mother works before school : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Strongly agree; 2.0 = Agree; 3.0 = Neither agree nor disagree; 4.0 = Disagree; 5.0 = Strongly disagree,0.8628175551012003
"2. Even though being a parent could be rewarding, I am frustrated now while my child is at his/her present age.","2. Even though being a parent could be rewarding, I am frustrated now while my child is at his/her present age.: Strongly Disagree, Disagree, Somewhat Disagree, Somewhat Agree, Agree, Strongly Agree, Not applicable, Declined, Don't know, Missing",Single parent bringing up children  ,Single parent bringing up children  : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Strongly agree; 2.0 = Agree; 3.0 = Neither agree nor disagree; 4.0 = Disagree; 5.0 = Strongly disagree,0.8605181273391189
"3. I go to bed the same way I wake up in the morning, feeling I have not accomplished a whole lot.","3. I go to bed the same way I wake up in the morning, feeling I have not accomplished a whole lot.: Strongly Disagree, Disagree, Somewhat Disagree, Somewhat Agree, Agree, Strongly Agree, Not applicable, Declined, Don't know, Missing",Regular sleeping and eating ,Regular sleeping and eating : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Strongly agree; 2.0 = Agree; 3.0 = Neither agree nor disagree; 4.0 = Disagree; 5.0 = Strongly disagree,0.8561830561085518
"4. I do not know why it is, but sometimes when I'm supposed to be in control, I feel more like the one being manipulated.","4. I do not know why it is, but sometimes when I'm supposed to be in control, I feel more like the one being manipulated.: Strongly Disagree, Disagree, Somewhat Disagree, Somewhat Agree, Agree, Strongly Agree, Not applicable, Declined, Don't know, Missing",Have control over life  ,Have control over life  : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = I usually have a free choice and control over my; 2.0 = Whatever I do has no real effect on what happens to,0.8459195529662138
5. My parent was better prepared to be a good parent than I am.,"5. My parent was better prepared to be a good parent than I am.: Strongly Disagree, Disagree, Somewhat Disagree, Somewhat Agree, Agree, Strongly Agree, Not applicable, Declined, Don't know, Missing",Fathers involvement in upbringing   ,Fathers involvement in upbringing   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Strongly agree; 2.0 = Agree; 3.0 = Neither agree nor disagree; 4.0 = Disagree; 5.0 = Strongly disagree,0.8715326242511836
6. I would make a fine model for a new parent to follow in order to learn what he/she would need to know in order to be a good parent.,"6. I would make a fine model for a new parent to follow in order to learn what he/she would need to know in order to be a good parent.: Strongly Disagree, Disagree, Somewhat Disagree, Somewhat Agree, Agree, Strongly Agree, Not applicable, Declined, Don't know, Missing",Education helps you to be a better parent.  ,Education helps you to be a better parent.  : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Strongly agree; 2.0 = Agree; 3.0 = Neither agree nor disagree; 4.0 = Disagree; 5.0 = Strongly disagree,0.8785228152833848
"7. Being a parent is manageable, and any problems are easily solved.","7. Being a parent is manageable, and any problems are easily solved.: Strongly Disagree, Disagree, Somewhat Disagree, Somewhat Agree, Agree, Strongly Agree, Not applicable, Declined, Don't know, Missing",Single parent bringing up children  ,Single parent bringing up children  : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Strongly agree; 2.0 = Agree; 3.0 = Neither agree nor disagree; 4.0 = Disagree; 5.0 = Strongly disagree,0.8766083326989222
8. A difficult problem in being a parent is not knowing whether you're doing a good job or a bad one.,"8. A difficult problem in being a parent is not knowing whether you're doing a good job or a bad one.: Strongly Disagree, Disagree, Somewhat Disagree, Somewhat Agree, Agree, Strongly Agree, Not applicable, Declined, Don't know, Missing",Single parent bringing up children  ,Single parent bringing up children  : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Strongly agree; 2.0 = Agree; 3.0 = Neither agree nor disagree; 4.0 = Disagree; 5.0 = Strongly disagree,0.8824282721305091
9. Sometimes I feel like I'm not getting anything done.,"9. Sometimes I feel like I'm not getting anything done.: Strongly Disagree, Disagree, Somewhat Disagree, Somewhat Agree, Agree, Strongly Agree, Not applicable, Declined, Don't know, Missing",Feels useless at times  ,Feels useless at times  : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Strongly agree; 2.0 = Agree; 3.0 = Disagree; 4.0 = Strongly disagree,0.8794589278310719
10. I meet my own personal expectations for expertise in caring for my child.,"10. I meet my own personal expectations for expertise in caring for my child.: Strongly Disagree, Disagree, Somewhat Disagree, Somewhat Agree, Agree, Strongly Agree, Not applicable, Declined, Don't know, Missing",Single parent bringing up children  ,Single parent bringing up children  : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Strongly agree; 2.0 = Agree; 3.0 = Neither agree nor disagree; 4.0 = Disagree; 5.0 = Strongly disagree,0.8623775484735412
"11. If anyone can find the answer to what is troubling my child, I am the one.","11. If anyone can find the answer to what is troubling my child, I am the one.: Strongly Disagree, Disagree, Somewhat Disagree, Somewhat Agree, Agree, Strongly Agree, Not applicable, Declined, Don't know, Missing",Single parent bringing up children  ,Single parent bringing up children  : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Strongly agree; 2.0 = Agree; 3.0 = Neither agree nor disagree; 4.0 = Disagree; 5.0 = Strongly disagree,0.8590704188120063
"12. My talents and interests are in other areas, not being a parent.","12. My talents and interests are in other areas, not being a parent.: Strongly Disagree, Disagree, Somewhat Disagree, Somewhat Agree, Agree, Strongly Agree, Not applicable, Declined, Don't know, Missing",Single parent bringing up children  ,Single parent bringing up children  : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Strongly agree; 2.0 = Agree; 3.0 = Neither agree nor disagree; 4.0 = Disagree; 5.0 = Strongly disagree,0.8418739093557015
"13. Considering how long I've been a parent, I feel thoroughly familiar with this role.","13. Considering how long I've been a parent, I feel thoroughly familiar with this role.: Strongly Disagree, Disagree, Somewhat Disagree, Somewhat Agree, Agree, Strongly Agree, Not applicable, Declined, Don't know, Missing",Single parent bringing up children  ,Single parent bringing up children  : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Strongly agree; 2.0 = Agree; 3.0 = Neither agree nor disagree; 4.0 = Disagree; 5.0 = Strongly disagree,0.8685488225373142
"14. If being a parent of a child were only more interesting, I would be motivated to do a better job as a parent.","14. If being a parent of a child were only more interesting, I would be motivated to do a better job as a parent.: Strongly Disagree, Disagree, Somewhat Disagree, Somewhat Agree, Agree, Strongly Agree, Not applicable, Declined, Don't know, Missing",Education helps you to be a better parent.  ,Education helps you to be a better parent.  : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Strongly agree; 2.0 = Agree; 3.0 = Neither agree nor disagree; 4.0 = Disagree; 5.0 = Strongly disagree,0.8694444780959366
15. I honestly believe I have all the skills necessary to be a good parent to my child.,"15. I honestly believe I have all the skills necessary to be a good parent to my child.: Strongly Disagree, Disagree, Somewhat Disagree, Somewhat Agree, Agree, Strongly Agree, Not applicable, Declined, Don't know, Missing",Education helps you to be a better parent.  ,Education helps you to be a better parent.  : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Strongly agree; 2.0 = Agree; 3.0 = Neither agree nor disagree; 4.0 = Disagree; 5.0 = Strongly disagree,0.8587445329637896
16. Being a parent makes me tense and anxious.,"16. Being a parent makes me tense and anxious.: Strongly Disagree, Disagree, Somewhat Disagree, Somewhat Agree, Agree, Strongly Agree, Not applicable, Declined, Don't know, Missing",Single parent bringing up children  ,Single parent bringing up children  : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Strongly agree; 2.0 = Agree; 3.0 = Neither agree nor disagree; 4.0 = Disagree; 5.0 = Strongly disagree,0.872996383781319
17. Being a good parent is a reward in itself.,"17. Being a good parent is a reward in itself.: Strongly Disagree, Disagree, Somewhat Disagree, Somewhat Agree, Agree, Strongly Agree, Not applicable, Declined, Don't know, Missing",Education helps you to be a better parent.  ,Education helps you to be a better parent.  : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Strongly agree; 2.0 = Agree; 3.0 = Neither agree nor disagree; 4.0 = Disagree; 5.0 = Strongly disagree,0.8748501568877878
T-score,T-score: ,DV McClements Score ,DV McClements Score : ,0.8491088755039838
Standard Error,Standard Error: ,SOC2000 (without dots)  ,SOC2000 (without dots)  : ,0.8220865553819127
1. I was sleepy during the daytime.,"1. I was sleepy during the daytime.: Not at all, A little bit, Somewhat, Quite a bit, Very much, Not applicable, Declined, Don't know, Missing",Sleepy at about the same time each evening  ,Sleepy at about the same time each evening  : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Almost never; 2.0 = Rarely; 3.0 = Usually does not; 4.0 = Often; 5.0 = Almost always,0.8777775983610505
2. I had problems during the day because of poor sleep.,"2. I had problems during the day because of poor sleep.: Not at all, A little bit, Somewhat, Quite a bit, Very much, Not applicable, Declined, Don't know, Missing",Bothered at first by different sleeping place.  ,Bothered at first by different sleeping place.  : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Almost never; 2.0 = Rarely; 3.0 = Usually does not; 4.0 = Often; 5.0 = Almost always,0.8626021787740312
3. I had a hard time concentrating because of poor sleep.,"3. I had a hard time concentrating because of poor sleep.: Not at all, A little bit, Somewhat, Quite a bit, Very much, Not applicable, Declined, Don't know, Missing",Bothered at first by different sleeping place.  ,Bothered at first by different sleeping place.  : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Almost never; 2.0 = Rarely; 3.0 = Usually does not; 4.0 = Often; 5.0 = Almost always,0.8618855024674322
4. I had a hard time getting things done because I was sleepy.,"4. I had a hard time getting things done because I was sleepy.: Not at all, A little bit, Somewhat, Quite a bit, Very much, Not applicable, Declined, Don't know, Missing",Bothered at first by different sleeping place.  ,Bothered at first by different sleeping place.  : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Almost never; 2.0 = Rarely; 3.0 = Usually does not; 4.0 = Often; 5.0 = Almost always,0.8562625271219202
API auto scored TScore,API auto scored TScore: ,DV McClements Score ,DV McClements Score : ,0.8317693889660537
API auto scored StdError,API auto scored StdError: ,SOC2000 (without dots)  ,SOC2000 (without dots)  : ,0.8013596659942716
Total number of possible input parameters for the scoring API,Total number of possible input parameters for the scoring API: ,Person Number for Main or Partner respondent,Person Number for Main or Partner respondent: ,0.7932183829581255
Total number of input parameters passed to the scoring API,Total number of input parameters passed to the scoring API: ,Person number   ,Person number   : ,0.7989687192434676
Form ID for the scoring API.,Form ID for the scoring API.: ,MCS Research ID ,MCS Research ID : ,0.8156609435747046
Version number of scoring API Form.,Version number of scoring API Form.: ,DV McClements Score ,DV McClements Score : ,0.8079106157857964
Gestational age (in days) at time of form completion,Gestational age (in days) at time of form completion: ,DV Cohort Member Gestation time in days ,DV Cohort Member Gestation time in days : -8.0 = Not known; -1.0 = Not applicable,0.8617556227930471
Gestational age (in complete weeks) at time of form completion,Gestational age (in complete weeks) at time of form completion: ,DV Cohort Member Gestation time in days ,DV Cohort Member Gestation time in days : -8.0 = Not known; -1.0 = Not applicable,0.8495066025408864
1. How many hours did you usually spend sleeping during the NIGHT? Hours,1. How many hours did you usually spend sleeping during the NIGHT? Hours: ,Frequency wakes up at night ,"Frequency wakes up at night : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = ... never,; 2.0 = occasionally,; 3.0 = most nights,; 4.0 = once every night,",0.8321561454189034
1. How many hours did you usually spend sleeping during the Night? Minutes,1. How many hours did you usually spend sleeping during the Night? Minutes: ,Sleepy at about the same time each evening  ,Sleepy at about the same time each evening  : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Almost never; 2.0 = Rarely; 3.0 = Usually does not; 4.0 = Often; 5.0 = Almost always,0.8364173252195005
2. How many days did you take a daytime nap ?,"2. How many days did you take a daytime nap ?: None, 1 day, 2 - 3 days, 4 - 5 days, 6 - 7 days, Not applicable, Declined, Don't know, Missing",Naps about the same length  ,Naps about the same length  : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Almost never; 2.0 = Rarely; 3.0 = Usually does not; 4.0 = Often; 5.0 = Almost always,0.845349525622205
"3. When you did take a daytime nap, how much time did you usually sleep? Hours","3. When you did take a daytime nap, how much time did you usually sleep? Hours: ",Sleepy at about the same time each evening  ,Sleepy at about the same time each evening  : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Almost never; 2.0 = Rarely; 3.0 = Usually does not; 4.0 = Often; 5.0 = Almost always,0.8261839729231654
"3. When you did take a daytime nap, how much time did you usually sleep? Minutes","3. When you did take a daytime nap, how much time did you usually sleep? Minutes: ",Naps about the same length  ,Naps about the same length  : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Almost never; 2.0 = Rarely; 3.0 = Usually does not; 4.0 = Often; 5.0 = Almost always,0.8272125378564473
4. What was your bedtime on WEEKDAYS (Sunday night - Thursday night)? Hour),4. What was your bedtime on WEEKDAYS (Sunday night - Thursday night)? Hour): ,How often work after 10pm up to 7am ,How often work after 10pm up to 7am : 1.0 = Every week; 2.0 = At least once per month; 3.0 = Less than once per month; 4.0 = Never; -9.0 = Refusal; -8.0 = Don't Know,0.8320988274911478
4. What was your bedtime on WEEKDAYS (Sunday night - Thursday night)? Minute),4. What was your bedtime on WEEKDAYS (Sunday night - Thursday night)? Minute): ,How often work after 10pm up to 7am ,How often work after 10pm up to 7am : 1.0 = Every week; 2.0 = At least once per month; 3.0 = Less than once per month; 4.0 = Never; -9.0 = Refusal; -8.0 = Don't Know,0.8274483604149152
4. What was your bedtime on WEEKDAYS (Sunday night - Thursday night)? AM/PM),"4. What was your bedtime on WEEKDAYS (Sunday night - Thursday night)? AM/PM): AM, PM, Not applicable, Declined, Don't know, Missing",Sleepy at about the same time each evening  ,Sleepy at about the same time each evening  : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Almost never; 2.0 = Rarely; 3.0 = Usually does not; 4.0 = Often; 5.0 = Almost always,0.8377112778456984
5. When did you usually wake up on WEEKDAYS (Monday morning - Friday morning)? Hour),5. When did you usually wake up on WEEKDAYS (Monday morning - Friday morning)? Hour): ,Interview Date (day),Interview Date (day): ,0.8250045536317646
5. When did you usually wake up on WEEKDAYS (Monday morning - Friday morning)? Minute),5. When did you usually wake up on WEEKDAYS (Monday morning - Friday morning)? Minute): ,Interview Date (day),Interview Date (day): ,0.8229141067711782
5. When did you usually wake up on WEEKDAYS (Monday morning - Friday morning)? AM/PM),"5. When did you usually wake up on WEEKDAYS (Monday morning - Friday morning)? AM/PM): AM, PM, Not applicable, Declined, Don't know, Missing",Number of days per week do you work in your job?,Number of days per week do you work in your job?: -9.0 = Refusal; -8.0 = Don't Know,0.8265218672755598
6. What was your bedtime on WEEKENDS (Friday and Saturday nights)? Hour),6. What was your bedtime on WEEKENDS (Friday and Saturday nights)? Hour): ,How often work after 10pm up to 7am ,How often work after 10pm up to 7am : 1.0 = Every week; 2.0 = At least once per month; 3.0 = Less than once per month; 4.0 = Never; -9.0 = Refusal; -8.0 = Don't Know,0.8185590875467773
6. What was your bedtime on WEEKENDS (Friday and Saturday nights)? Minute),6. What was your bedtime on WEEKENDS (Friday and Saturday nights)? Minute): ,Frequency works at weekends ,Frequency works at weekends : 1.0 = Every week; 2.0 = At least once per month; 3.0 = Less than once per month; 4.0 = Never; -9.0 = Refusal; -8.0 = Don't Know,0.8149194651671121
